2017-03-10 01:32:34 status unpacked perl-base:armhf 5.20.2-3+deb8u6
2017-03-10 01:32:34 trigproc man-db:armhf 2.7.0.2-5 <none>
2017-03-10 01:32:34 status half-configured man-db:armhf 2.7.0.2-5
2017-03-10 01:32:38 status installed man-db:armhf 2.7.0.2-5
2017-03-10 01:32:40 startup packages configure
2017-03-10 01:32:40 configure perl-base:armhf 5.20.2-3+deb8u6 <none>
2017-03-10 01:32:40 status unpacked perl-base:armhf 5.20.2-3+deb8u6
2017-03-10 01:32:40 status half-configured perl-base:armhf 5.20.2-3+deb8u6
2017-03-10 01:32:40 status installed perl-base:armhf 5.20.2-3+deb8u6
2017-03-10 01:33:08 startup archives unpack
2017-03-10 01:33:11 upgrade perl-modules:all 5.20.2-3+deb8u1 5.20.2-3+deb8u6
2017-03-10 01:33:11 status half-configured perl-modules:all 5.20.2-3+deb8u1
2017-03-10 01:33:11 status unpacked perl-modules:all 5.20.2-3+deb8u1
2017-03-10 01:33:11 status half-installed perl-modules:all 5.20.2-3+deb8u1
2017-03-10 01:35:34 status half-installed perl-modules:all 5.20.2-3+deb8u1
2017-03-10 01:35:35 status unpacked perl-modules:all 5.20.2-3+deb8u6
2017-03-10 01:35:36 status unpacked perl-modules:all 5.20.2-3+deb8u6
2017-03-10 01:35:37 upgrade libmodule-build-perl:all 0.421000-2 0.421000-2+deb8u1
2017-03-10 01:35:37 status half-configured libmodule-build-perl:all 0.421000-2
2017-03-10 01:35:37 status unpacked libmodule-build-perl:all 0.421000-2
2017-03-10 01:35:37 status half-installed libmodule-build-perl:all 0.421000-2
2017-03-10 01:35:37 status triggers-pending man-db:armhf 2.7.0.2-5
2017-03-10 01:35:39 status half-installed libmodule-build-perl:all 0.421000-2
2017-03-10 01:35:39 status unpacked libmodule-build-perl:all 0.421000-2+deb8u1
2017-03-10 01:35:39 status unpacked libmodule-build-perl:all 0.421000-2+deb8u1
2017-03-10 01:35:39 upgrade sed:armhf 4.2.2-4 4.2.2-4+deb8u1
